date,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分,code
,三菱製紙,3864,,,,38640
,みのや,386A,,,,386A0
,中越パルプ工業,3877,,,,38770
,巴川,3878,,,,38780
,フラー,387A,,,,387A0
,ニッポン高度紙工業,3891,,,,38910
,岡山製紙,3892,,,,38920
,ハビックス,3895,,,,38950
,阿波製紙,3896,,,,38960
,クラウドワークス,3900,,,,39000
,カヤック,3904,,,,39040
,データセクション,3905,,,,39050
,シリコンスタジオ,3907,,,,39070
,コラボス,3908,,,,39080
,ショーケース,3909,,,,39090
,エムケイシステム,3910,,,,39100
,Ａｉｍｉｎｇ,3911,,,,39110
,モバイルファクトリー,3912,,,,39120
,ＧｒｅｅｎＢｅｅ,3913,,,,39130
,ＪＩＧ―ＳＡＷ,3914,,,,39140
,アイリッジ,3917,,,,39170
,ＰＣＩ　ＨＬＤＧ,3918,,,,39180
,アイビーシー,3920,,,,39200
,ランドコンピュータ,3924,,,,39240
,フーバーブレイン,3927,,,,39270
,マイネット,3928,,,,39280
,ソーシャルワイヤー,3929,,,,39290
,はてな,3930,,,,39300
,バリューゴルフ,3931,,,,39310
,チエル,3933,,,,39330
,ベネフィットジャパン,3934,,,,39340
,エディア,3935,,,,39350
,グローバルウェイ,3936,,,,39360
,ノムラシステムコーポレーション,3940,,,,39400
,大石産業,3943,,,,39430
,古林紙工,3944,,,,39440
,スーパーバッグ,3945,,,,39450
,ダイナパック,3947,,,,39470
,光ビジネスフォーム,3948,,,,39480
,朝日印刷,3951,,,,39510
,大村紙業,3953,,,,39530
,昭和パックス,3954,,,,39540
,イムラ,3955,,,,39550
,笹徳印刷,3958,,,,39580
,シルバーエッグ・テクノロジー,3961,,,,39610
,シンクロ・フード,3963,,,,39630
,キャピタル・アセット・プランニ,3965,,,,39650
,エルテス,3967,,,,39670
,セグエグループ,3968,,,,39680
,エイトレッド,3969,,,,39690
,イノベーション,3970,,,,39700
,ＳＣＡＴ,3974,,,,39740
,シャノン,3976,,,,39760
,うるる,3979,,,,39790
,ビーグリー,3981,,,,39810
,テモナ,3985,,,,39850
,ビーブレイクシステムズ,3986,,,,39860
,エコモット,3987,,,,39870
,ＳＹＳ　ＨＬＤＧ,3988,,,,39880
,シェアリングテクノロジー,3989,,,,39890
,ウォンテッドリー,3991,,,,39910
,ニーズウェル,3992,,,,39920
,サインポスト,3996,,,,39960
